"Line","Longitude","Latitude"
1,2.70202841915259,60.1366350327586
1,2.6149160002243,60.1549103747792
1,2.79394666682118,60.1831866045927
1,2.61669878951951,60.1980749166494
1,2.81092854266909,60.2269222841984
1,2.61565155381375,60.2411331143611
1,2.79825867426414,60.2695437369717
1,2.589528316185,60.2832490284097
1,2.76649114448329,60.3114475548376
1,2.56340507855624,60.3253649424583
1,2.73472361470244,60.3533513727036
1,2.53728184092749,60.3674808565069
1,2.70295608492158,60.3952551905695
1,2.51893150022439,60.4098888535522
1,2.71655006399555,60.4388635628081
1,2.50977940521989,60.4526424940808
1,2.73076910653971,60.4824954231249
1,2.50062731021539,60.4953961346094
1,2.74498814908388,60.5261272834418
1,2.49147521521088,60.538149775138
1,2.75711317718085,60.569680456749
1,2.50693594766896,60.5818282945724
1,2.76173112876469,60.6129515358222
1,2.58727025922585,60.627944575574
1,2.76634908034853,60.6562226148954
1,2.67684039124985,60.6644598268636
